dag_name,coef_of_interest,method,reps,Bhat,BhatBias,BhatLo,BhatHi,BhatFail,BhatRMSE,BhatCover,coef_of_interest_pretty,dag_name_pretty,method_pretty
1B,(Intercept),gold,5000,0,0,-0.14,0.14,0,0.07,0.95,E[A],DAG (a),Benchmark
1B,(Intercept),CC,5000,0,0,-0.2,0.2,0,0.1,0.95,E[A],DAG (a),Complete-case
1B,(Intercept),MVN-CC-std,5000,-0.84,-0.84,-1.04,-0.65,0,0.85,0,E[A],DAG (a),MVN (standard)
1B,(Intercept),Am-std,5000,-0.84,-0.84,-1.04,-0.65,0,0.85,0,E[A],DAG (a),Amelia (standard)
1B,(Intercept),MICE-std,5000,-0.83,-0.83,-1.02,-0.65,0,0.84,0,E[A],DAG (a),MICE (standard)
1B,(Intercept),MVN-CC-ours,5000,0,0,-0.2,0.2,0,0.1,0.95,E[A],DAG (a),MVN (m-backdoor)
1B,(Intercept),Am-ours,5000,0,0,-0.2,0.2,0,0.1,0.95,E[A],DAG (a),Amelia (m-backdoor)
1B,(Intercept),MICE-ours,5000,0,0,-0.35,0.35,0,0.18,0.94,E[A],DAG (a),MICE (m-backdoor)
1B,A,gold,5000,1.2,0,1.1,1.3,0,0.05,0.95,E[B | A],DAG (a),Benchmark
1B,A,CC,5000,1.2,0,1.09,1.31,0,0.06,0.94,E[B | A],DAG (a),Complete-case
1B,A,MVN-CC-std,5000,1.36,0.16,1.26,1.45,0,0.16,0.1,E[B | A],DAG (a),MVN (standard)
1B,A,Am-std,5000,1.36,0.16,1.26,1.45,0,0.16,0.1,E[B | A],DAG (a),Amelia (standard)
1B,A,MICE-std,5000,1.37,0.17,1.28,1.45,0,0.18,0.07,E[B | A],DAG (a),MICE (standard)
1D,(Intercept),gold,5000,0,0,-0.14,0.14,0,0.07,0.95,E[A],DAG (b),Benchmark
1D,(Intercept),CC,5000,0,0,-0.2,0.19,0,0.1,0.95,E[A],DAG (b),Complete-case
1D,(Intercept),MVN-CC-std,5000,-0.7,-0.7,-0.9,-0.5,0,0.71,0,E[A],DAG (b),MVN (standard)
1D,(Intercept),Am-std,5000,-0.71,-0.71,-0.91,-0.51,0,0.72,0,E[A],DAG (b),Amelia (standard)
1D,(Intercept),MICE-std,5000,-0.7,-0.7,-0.89,-0.51,0,0.71,0,E[A],DAG (b),MICE (standard)
1D,(Intercept),MVN-CC-ours,5000,0,0,-0.2,0.2,0,0.1,0.95,E[A],DAG (b),MVN (m-backdoor)
1D,(Intercept),Am-ours,5000,0,0,-0.2,0.2,0,0.1,0.95,E[A],DAG (b),Amelia (m-backdoor)
1D,(Intercept),MICE-ours,5000,0,0,-0.35,0.35,0,0.18,0.94,E[A],DAG (b),MICE (m-backdoor)
1D,A,gold,5000,0.8,0,0.73,0.87,0,0.03,0.95,E[B | A],DAG (b),Benchmark
1D,A,CC,5000,0.8,0,0.72,0.88,0,0.04,0.94,E[B | A],DAG (b),Complete-case
1D,A,MVN-CC-std,5000,0.9,0.11,0.83,0.98,0,0.11,0.17,E[B | A],DAG (b),MVN (standard)
1D,A,Am-std,5000,0.91,0.11,0.83,0.98,0,0.11,0.18,E[B | A],DAG (b),Amelia (standard)
1D,A,MICE-std,5000,0.91,0.11,0.84,0.98,0,0.12,0.19,E[B | A],DAG (b),MICE (standard)
1Fb,(Intercept),gold,5000,0,0,-0.15,0.14,0,0.07,0.96,E[B],DAG (c),Benchmark
1Fb,(Intercept),CC,5000,0.55,0.55,0.35,0.75,0,0.56,0,E[B],DAG (c),Complete-case
1Fb,(Intercept),MVN-CC-std,5000,-0.27,-0.27,-0.46,-0.08,0,0.29,0.19,E[B],DAG (c),MVN (standard)
1Fb,(Intercept),Am-std,5000,-0.27,-0.27,-0.46,-0.08,0,0.29,0.18,E[B],DAG (c),Amelia (standard)
1Fb,(Intercept),MICE-std,5000,-0.25,-0.25,-0.43,-0.07,0,0.27,0.24,E[B],DAG (c),MICE (standard)
1Fb,(Intercept),MVN-CC-ours,5000,0,0,-0.19,0.2,0,0.1,0.96,E[B],DAG (c),MVN (m-backdoor)
1Fb,(Intercept),Am-ours,5000,0,0,-0.19,0.2,0,0.1,0.95,E[B],DAG (c),Amelia (m-backdoor)
1Fb,(Intercept),MICE-ours,5000,0.01,0.01,-0.18,0.2,0,0.1,0.93,E[B],DAG (c),MICE (m-backdoor)
1Fb,A,gold,5000,1.5,0,1.39,1.61,0,0.06,0.95,E[B | A],DAG (c),Benchmark
1Fb,A,CC,5000,1.5,0,1.33,1.67,0,0.09,0.95,E[B | A],DAG (c),Complete-case
1Fb,A,MVN-CC-std,5000,1.6,0.1,1.44,1.76,0,0.13,0.77,E[B | A],DAG (c),MVN (standard)
1Fb,A,Am-std,5000,1.6,0.1,1.44,1.76,0,0.13,0.77,E[B | A],DAG (c),Amelia (standard)
1Fb,A,MICE-std,5000,1.55,0.05,1.41,1.7,0,0.11,0.81,E[B | A],DAG (c),MICE (standard)
1Fb,A,MVN-CC-ours,5000,1.5,0,1.33,1.67,0,0.09,0.95,E[B | A],DAG (c),MVN (m-backdoor)
1Fb,A,Am-ours,5000,1.5,0,1.33,1.67,0,0.09,0.95,E[B | A],DAG (c),Amelia (m-backdoor)
1Fb,A,MICE-ours,5000,1.47,-0.03,1.31,1.63,0,0.11,0.85,E[B | A],DAG (c),MICE (m-backdoor)
1J,A,gold,5000,0,0,-0.06,0.06,0,0.03,0.95,E[B | A],DAG (d),Benchmark
1J,A,CC,5000,,,,,1,,,E[B | A],DAG (d),Complete-case
1J,A,Am-std,5000,-0.12,-0.12,-0.2,-0.05,0,0.13,0.1,E[B | A],DAG (d),Amelia (standard)
1J,A,MICE-std,5000,-0.18,-0.18,-0.56,0.2,0,0.2,0.99,E[B | A],DAG (d),MICE (standard)
